attempt_index,attempt_id,circuit,source_qasm_sha256,family,qmax,num_qubits,depth,gate_count,acted_point_count,gate_node_denominator,gate_qubit_event_denominator,qubit_denominator,normalized_depth_denominator,two_qubit_density,E_mean,E_peak,certificate_selected_point_count,certificate_selected_gate_count,certificate_selected_qubit_count,certificate_acted_point_coverage,certificate_gate_coverage,certificate_qubit_coverage,certificate_depth_reach,emitted_mid_point_count,emitted_mid_gate_count,emitted_mid_qubit_count,emitted_mid_acted_point_coverage,emitted_mid_gate_coverage,emitted_mid_qubit_coverage,emitted_mid_depth_reach,final_read_point_count,deployed_observable_point_count,deployed_observable_gate_count,deployed_observable_qubit_count,deployed_observable_acted_point_coverage,deployed_observable_gate_coverage,deployed_observable_qubit_coverage,deployed_observable_depth_reach,infeasible_mid_point_count,infeasible_gate_group_count,batch_count,selector_max_a2,selector_max_independent_svd_a2,mean_ent,peak_ent,node_cov,emitted_node_cov,certificate_node_cov,deployed_node_cov
10,canonical:010:ae_indep_qiskit_8.qasm,ae_indep_qiskit_8.qasm,22918438bfb534e2b8e98047e7619cf3e2cec2c8e7c38f4049175b84ccab585f,ae,24,8,41,64,99,64,99,8,41,0.546875,0.18309396206291192,0.24999877493047912,8,8,8,0.08080808080808081,0.125,1.0,0.024390243902439025,8,8,8,0.08080808080808081,0.125,1.0,0.024390243902439025,0,8,8,8,0.08080808080808081,0.125,1.0,0.024390243902439025,0,0,1,6.994184769323423e-16,6.994184769323423e-16,0.18309396206291192,0.24999877493047912,0.125,0.125,0.125,0.125
11,canonical:011:ae_indep_qiskit_9.qasm,ae_indep_qiskit_9.qasm,29884557f08a1d0a0776858799574a1f45733fafe3e33a1991fed1f77591128e,ae,24,9,47,77,121,77,121,9,47,0.5714285714285714,0.17982008478884967,0.24999877493047912,9,9,9,0.0743801652892562,0.11688311688311688,1.0,0.02127659574468085,9,9,9,0.0743801652892562,0.11688311688311688,1.0,0.02127659574468085,0,9,9,9,0.0743801652892562,0.11688311688311688,1.0,0.02127659574468085,0,0,1,1.1730014921213226e-15,1.1730014921213226e-15,0.17982008478884967,0.24999877493047912,0.11688311688311688,0.11688311688311688,0.11688311688311688,0.11688311688311688
12,canonical:012:bmw_quark_cardinality_indep_qiskit_10.qasm,bmw_quark_cardinality_indep_qiskit_10.qasm,9a7f21723c5a58c4f48c552cfdd9aac99a79d191568a6854077a6bf222f40016,bmw_quark_cardinality,24,10,16,57,84,57,84,10,16,0.47368421052631576,0.10735389333742915,0.24598795685581573,10,10,10,0.11904761904761904,0.17543859649122806,1.0,0.0625,10,10,10,0.11904761904761904,0.17543859649122806,1.0,0.0625,0,10,10,10,0.11904761904761904,0.17543859649122806,1.0,0.0625,0,0,1,2.8636441528400203e-16,2.8636441528400203e-16,0.10735389333742915,0.24598795685581573,0.17543859649122806,0.17543859649122806,0.17543859649122806,0.17543859649122806
13,canonical:013:bmw_quark_cardinality_indep_qiskit_11.qasm,bmw_quark_cardinality_indep_qiskit_11.qasm,dfd7a008591d68338ec75a0c69300530925e497c7bc4eb2105db8f61c45a549c,bmw_quark_cardinality,24,11,17,63,93,63,93,11,17,0.47619047619047616,0.10169803687480315,0.23442899630739827,11,11,11,0.11827956989247312,0.1746031746031746,1.0,0.058823529411764705,11,11,11,0.11827956989247312,0.1746031746031746,1.0,0.058823529411764705,0,11,11,11,0.11827956989247312,0.1746031746031746,1.0,0.058823529411764705,0,0,1,5.692055028799692e-16,5.692055028799692e-16,0.10169803687480315,0.23442899630739827,0.1746031746031746,0.1746031746031746,0.1746031746031746,0.1746031746031746
14,canonical:014:bmw_quark_cardinality_indep_qiskit_12.qasm,bmw_quark_cardinality_indep_qiskit_12.qasm,2056ad3e8ba739c5589aeee021ed4d8b9c894f1d46e02f3647e9853fbaae9e90,bmw_quark_cardinality,24,12,18,69,102,69,102,12,18,0.4782608695652174,0.09291071866490377,0.22279739321446826,12,12,12,0.11764705882352941,0.17391304347826086,1.0,0.05555555555555555,12,12,12,0.11764705882352941,0.17391304347826086,1.0,0.05555555555555555,0,12,12,12,0.11764705882352941,0.17391304347826086,1.0,0.05555555555555555,0,0,1,5.692055028799692e-16,5.692055028799692e-16,0.09291071866490377,0.22279739321446826,0.17391304347826086,0.17391304347826086,0.17391304347826086,0.17391304347826086
15,canonical:015:bmw_quark_cardinality_indep_qiskit_13.qasm,bmw_quark_cardinality_indep_qiskit_13.qasm,4ca0ed48ef0dc2b78bdeee110eed49bec87d1edab930f05d90ed1bf788d6207a,bmw_quark_cardinality,24,13,19,75,111,75,111,13,19,0.48,0.1080273765633425,0.24075216713614095,13,13,13,0.11711711711711711,0.17333333333333334,1.0,0.05263157894736842,13,13,13,0.11711711711711711,0.17333333333333334,1.0,0.05263157894736842,0,13,13,13,0.11711711711711711,0.17333333333333334,1.0,0.05263157894736842,0,0,1,5.692055028799692e-16,5.692055028799692e-16,0.1080273765633425,0.24075216713614095,0.17333333333333334,0.17333333333333334,0.17333333333333334,0.17333333333333334
16,canonical:016:bmw_quark_cardinality_indep_qiskit_14.qasm,bmw_quark_cardinality_indep_qiskit_14.qasm,1b0cb7c81507e2c923d671cead492cd3ed996ea353b081203dbc7e7b721d40fe,bmw_quark_cardinality,24,14,20,81,120,81,120,14,20,0.48148148148148145,0.10663441164019476,0.21957238516286767,14,14,14,0.11666666666666667,0.1728395061728395,1.0,0.05,14,14,14,0.11666666666666667,0.1728395061728395,1.0,0.05,0,14,14,14,0.11666666666666667,0.1728395061728395,1.0,0.05,0,0,1,5.692055028799692e-16,5.692055028799692e-16,0.10663441164019476,0.21957238516286767,0.1728395061728395,0.1728395061728395,0.1728395061728395,0.1728395061728395
17,canonical:017:bmw_quark_cardinality_indep_qiskit_2.qasm,bmw_quark_cardinality_indep_qiskit_2.qasm,e2ff0bb003a82ab2bba90fcdb2d6b999f5002fb782cd109ccb3488dc0ffe5742,bmw_quark_cardinality,24,2,6,9,12,9,12,2,6,0.3333333333333333,0.015341239290509616,0.0871929843945747,2,2,2,0.16666666666666666,0.2222222222222222,1.0,0.16666666666666666,2,2,2,0.16666666666666666,0.2222222222222222,1.0,0.16666666666666666,0,2,2,2,0.16666666666666666,0.2222222222222222,1.0,0.16666666666666666,0,0,1,6.872711883960974e-18,6.872711883960974e-18,0.015341239290509616,0.0871929843945747,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222
18,canonical:018:bmw_quark_cardinality_indep_qiskit_3.qasm,bmw_quark_cardinality_indep_qiskit_3.qasm,234aaf57cc1a0252012dbfda62dadc44200d6bfe7248c4db0017948665633058,bmw_quark_cardinality,24,3,9,15,21,15,21,3,9,0.4,0.089037313958058,0.12496903965074904,3,3,3,0.14285714285714285,0.2,1.0,0.1111111111111111,3,3,3,0.14285714285714285,0.2,1.0,0.1111111111111111,0,3,3,3,0.14285714285714285,0.2,1.0,0.1111111111111111,0,0,1,1.8832216575967838e-17,1.8832216575967838e-17,0.089037313958058,0.12496903965074904,0.2,0.2,0.2,0.2
19,canonical:019:bmw_quark_cardinality_indep_qiskit_4.qasm,bmw_quark_cardinality_indep_qiskit_4.qasm,7fe9cb62ea8602efaa39e91e92e0a8e78240a5f4c16ac031d36ada66b13c8223,bmw_quark_cardinality,24,4,10,21,30,21,30,4,10,0.42857142857142855,0.06353128465916397,0.17024655665141028,4,4,4,0.13333333333333333,0.19047619047619047,1.0,0.1,4,4,4,0.13333333333333333,0.19047619047619047,1.0,0.1,0,4,4,4,0.13333333333333333,0.19047619047619047,1.0,0.1,0,0,1,9.746805526959145e-17,9.746805526959145e-17,0.06353128465916397,0.17024655665141028,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047
